"MATERIA";"CURSO";"NIVEL";"DEPARTAMENTO";"NOMBRE";"CREDITOS"
ADMI;"000";PREG;ADMI;REQUISITO DE IDIOMAS;0
ADMI;"0000";PREG;ADMI;ELECTIVA - ADMINISTRACION;3
ADMI;"099";PREG;ADMI;TALL. HABILIDADES GERENC.;1
ADMI;"099";PREG;ADMI;T. HAB. GER;1
ADMI;"099";PREG;ADMI;TALLER DE HABILIDADES GERENCIA;1
ADMI;"100";PREG;ADMI;INTRODUCCION A LA  ADMINISTRAC;3
ADMI;"100";PREG;ADMI;INTRODUCCION A LA ADMINISTRACI;3
ADMI;"100";PREG;ADMI;INTROD.ADMINISTRACION;3
ADMI;"101";PREG;ADMI;INTROD. A LA ADMINISTRACION;3
ADMI;"101";PREG;ADMI;INTRODUCCION ADMINISTRACION;3
ADMI;"101";PREG;ADMI;INTRODUCC. A LA ADMINISTRACION;3
ADMI;"101";PREG;ADMI;INTROD.ADMINISTRACION;3
ADMI;"102";PREG;ADMI;TALLER DOCENTE;3
ADMI;"103";PREG;ADMI;CONTAB.ANALIS.FINANC.(ADMON);3
ADMI;"105";PREG;ADMI;TALLER DE INFORMATICA;2
ADMI;"1101";PREG;ADMI;INTROD.ADMINISTRACION (ADMON);3
ADMI;"1101";PREG;GEST;FUNDAM.ADMON Y GERENCIA (ADMI);3
ADMI;"1101";PREG;ADMI;FUNDAM.ADMON Y GERENCIA (ADMI);3
ADMI;"1102";PREG;ADMI;FUNDAM.ADMON Y GERENC.(NO ADM);3
ADMI;"1102";PREG;GEST;FUNDAM.ADMON Y GERENCIA;3
ADMI;"1102";PREG;ADMI;FUNDAM.ADMON Y GERENCIA;3
ADMI;"1102";PREG;ADMI;INTROD.ADMINISTRACION (NO ADM);3
ADMI;"1102C";PREG;ADMI;FUNDAM.ADMON Y GERENCIA COMPL;0
ADMI;"1103";PREG;ADMI;TALLER DOCENTE;3
ADMI;"1104";PREG;ADMI;CONGRESO INTERNACIONAL;3
ADMI;"111";PREG;ADMI;TALLER AUTOCONOCIMIENTO;2
ADMI;"112";PREG;ADMI;CONTABIL.Y ANALISIS FINANCIERO;3
ADMI;"112";PREG;ADMI;CONTABILIDAD Y ANALISIS FINANC;3
ADMI;"112";PREG;ADMI;CONTABILIDAD FINANCIERA;3
ADMI;"112";PREG;ADMI;CONTAB.ANALIS.FINANC.(NO ADM);3
ADMI;"113";PREG;ADMI;PLANEACION FINANCIERA;3
ADMI;"115";PREG;ADMI;COMPORT. ORGANIZACIONAL;3
ADMI;"115";PREG;ADMI;COMPORTAMIENTO ORGANIZACIONAL;3
ADMI;"116";PREG;ADMI;TALL.EXPRES.ORAL Y ESCRITA;3
ADMI;"1190";PREG;ADMI;SERV. ECOSISTÉMICOS-VMP;3
ADMI;"1190";PREG;ADMI;SERVICIOS ECOSISTÉMICOS;3
ADMI;"1201";PREG;FINA;CONTAB.ANALIS.FINANC.(ADMON);3
ADMI;"1201";PREG;ADMI;CONTAB.ANALIS.FINANC.(ADMON);3
ADMI;"1202";PREG;FINA;CONTAB.ANALIS.FINANCIERO;3
ADMI;"1202";PREG;ADMI;CONTAB.ANALIS.FINANC.(NO ADM);3
ADMI;"1202";PREG;ADMI;CONTAB.ANALIS.FINANCIERO;3
ADMI;"1203";PREG;ADMI;PLANEACION FINANCIERA;3
ADMI;"1203";PREG;ADMI;PLANEACIÓN FINANCIERA;3
ADMI;"1203";PREG;FINA;PLANEACION FINANCIERA;3
ADMI;"1203";PREG;FINA;FINANZAS 1: PLANEACION;3
ADMI;"1203";PREG;ADMI;FINANZAS 1: PLANEACION;3
ADMI;"1401";PREG;ADMI;TALLER HABILIDADES INFORMATICA;1
ADMI;"1401";PREG;ADMI;TALLER HABILIDADES INFORMÁTICA;1
ADMI;"1401";PREG;ESTR;TALLER HABILIDADES INFORMATICA;1
ADMI;"1401";PREG;ADMI;TALLER DE INFORMATICA;2
ADMI;"1590";PREG;ADMI;TALLER DE CREATIVIDAD;1
ADMI;"1601";PREG;ADMI;TALL. HABILIDADES GERENC.;1
ADMI;"1601";PREG;ESTR;TALL. HABILIDADES GERENC.;1
ADMI;"1602";PREG;ADMI;TALLER AUTOCONOCIMIENTO;1
ADMI;"1602";PREG;ADMI;TALLER AUTOCONOCIMIENTO;2
ADMI;"1602";PREG;ORGA;TALLER AUTOCONOCIMIENTO;1
ADMI;"1603";PREG;ADMI;COMPORT. ORGANIZACIONAL;3
ADMI;"1603";PREG;ORGA;COMPORT. ORGANIZACIONAL;3
ADMI;"1603";PREG;ADMI;COMPORTAMIENTO ORGANIZACIONAL;3
ADMI;"1604";PREG;GEST;TALLER DE INNOVACION;3
ADMI;"1604";PREG;ADMI;TALLER DE INNOVACION;3
ADMI;"1605";PREG;ADMI;ENFOQUE GERENCIAL DE LAS NIIF;3
ADMI;"205";PREG;ADMI;ORGANIZACIONES;3
ADMI;"205B";PREG;ADMI;ORGANIZACIONES;3
ADMI;"207";PREG;ADMI;FUNDAMENTOS DE MERCADEO;3
ADMI;"2104";PREG;ADMI;HISTORIA DESARROLLO EMPRES.COL;3
ADMI;"2104";PREG;GEST;HISTORIA DESARROLLO EMPRES.COL;3
ADMI;"2104B";PREG;ADMI;HISTORIA DESARROLLO EMPRES.COL;3
ADMI;"2105";PREG;ADMI;PROBLEMAS COLOMBIANOS;3
ADMI;"2106";PREG;GEST;RESPONSABILIDAD SOCIAL;3
ADMI;"2106";PREG;ADMI;RESPONSABILIDAD SOCIAL;3
ADMI;"2106";PREG;ADMI;GERENCIA DE LA SOSTENIBILIDAD;3
ADMI;"2106";PREG;ADMI;TALLER RESPONSAB. SOCIAL;3
ADMI;"2106B";PREG;ADMI;RESPONSABILIDAD SOCIAL;3
ADMI;"2107";PREG;ORGA;GERENCIA DE RECURSOS HUMANOS;3
ADMI;"2107";PREG;ADMI;GERENCIA DE RECURSOS HUMANOS;3
ADMI;"2107";PREG;ADMI;ELC. GERENCIA RECURSOS HUMANOS;3
ADMI;"213";PREG;ADMI;HIST.DESARROLLO EMPRESARIAL;3
ADMI;"213";PREG;ADMI;HISTORIA DESARROLLO EMPRES.COL;3
ADMI;"213";PREG;ADMI;HISTORIA DESARROLLO EMPRES.;3
ADMI;"213B";PREG;ADMI;HISTORIA DESARROLLO EMPRES.COL;3
ADMI;"216";PREG;ADMI;INTRODUCC.GESTION PUBLICA;3
ADMI;"216";PREG;ADMI;INTRODUCC. A LA GEST. PUBLICA;3
ADMI;"216";PREG;ADMI;INTROD.GESTION PUBLICA;3
ADMI;"218";PREG;ADMI;GESTION PUBLICA;3
