nombre;semestre_inicio;semestre_vigencia;creditos
Cálculo diferencial;201110;202202;3
Cálculo integral;201110;202202;3
Algebra lineal;201110;202202;3
Cálculo vectorial;201110;202202;3
Física 1;201110;202202;3
Física exp. 1;201110;202202;1
Física 2;201110;202202;3
Física exp. 2;201110;202202;1
Electiva quim/bio (antigua);201110;201320;3
Electiva quim/bio;201410;202202;3
Matemática estructural y lógica;201110;202202;3
Diseño y análisis de algoritmos;201110;202202;3
Lenguajes y máquinas;201110;202202;3
APO1;201110;202202;3
APO2;201110;202202;3
Estructura de datos;201110;202202;3
TI en las organizaciones;201110;202202;3
Anadec;201110;202202;3
Probabilidad;201110;202202;3
Modelado, simulación y optimización;201110;202202;3
Arquitectura empresarial;201110;202202;3
Programación web o sistemas empresariales;201110;202202;3
Electiva en ciencias;201110;202202;3
Electiva en ingeniería;201110;202202;3
Infraestructura computacional;201110;202202;3
Infraestructura de comunicaciones;201110;202202;3
Sistemas transaccionales;201110;202202;3
Inteligencia de negocios;201110;202202;3
Arquitectura y diseño de software;201110;202202;3
Construccion de aplicaciones móviles;201110;202202;3
Desarrollo de SW en equipo;201110;202202;3
Electiva profesional 1;201110;202202;3
Electiva profesional 2;201110;202202;3
Electiva profesional 3;201110;202202;3
Introducción a ingeniería;201110;202202;3
Proyecto mitad de carrera ISIS;201110;202202;3
Proyecto de grado ISIS;201110;202202;3
Constitución y democracia;201110;202202;3
Español requisito;201110;202202;0
CBU CBCO;201110;202202;2
CBU CBPC;201110;202202;2
CBU CBCA;201110;202202;2
CBU Libre 1;201110;202202;2
CBU Libre 2;201110;202202;2
CBU Libre 3;201110;202202;2
CBU Obligatorio Colombia;201110;202202;2
